epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1349.75,2.15188,4.32688,2.00749,0.3137,0.23463,0.17539,0.07074,2.06233,3.38861,1.94507,0.00199584,0.00199584,0.00199584
2,1686.77,1.9821,3.14768,1.80309,0.31416,0.2556,0.16454,0.06397,2.06892,2.90977,1.87661,0.00399487,0.00399487,0.00399487
3,1955.91,1.99615,2.71661,1.82113,0.34403,0.31739,0.27223,0.11598,1.96816,2.37302,1.76886,0.00598999,0.00598999,0.00598999
4,2223.15,2.02003,2.56661,1.84058,0.35788,0.3138,0.2697,0.10611,2.00688,2.41879,1.86095,0.00797828,0.00797828,0.00797828
5,2491.18,2.09984,2.61497,1.95101,0.25001,0.2199,0.142,0.05425,2.28471,2.92572,2.12932,0.00995683,0.00995683,0.00995683
6,2752.4,2.12222,2.63183,1.99876,0.27322,0.25647,0.17322,0.06797,2.14241,2.7664,2.02565,0.00993906,0.00993906,0.00993906
7,3014,2.06215,2.51061,1.95636,0.3708,0.31842,0.27684,0.11122,1.99733,2.40236,1.9107,0.00991232,0.00991232,0.00991232
8,3277.68,2.00343,2.38778,1.90187,0.40277,0.32846,0.30286,0.12802,1.93866,2.30845,1.84057,0.00988079,0.00988079,0.00988079
9,3540.19,1.97709,2.31857,1.8788,0.39802,0.35918,0.31776,0.13615,1.94953,2.24681,1.84822,0.00984449,0.00984449,0.00984449
10,3802.65,1.94712,2.27941,1.85643,0.38079,0.37529,0.34869,0.15672,1.88732,2.12529,1.80931,0.00980345,0.00980345,0.00980345
11,4064.47,1.92246,2.21705,1.82615,0.41677,0.39836,0.36561,0.16551,1.88218,2.1468,1.81134,0.00975773,0.00975773,0.00975773
12,4327.35,1.9027,2.17353,1.80266,0.4426,0.40891,0.38718,0.17145,1.86537,2.09783,1.77107,0.00970736,0.00970736,0.00970736
13,4589.48,1.88192,2.14495,1.79935,0.46917,0.40984,0.40911,0.18676,1.85351,2.03153,1.76938,0.00965239,0.00965239,0.00965239
14,4852.38,1.87753,2.11741,1.79334,0.47605,0.41173,0.40962,0.18754,1.85554,2.00456,1.76749,0.00959289,0.00959289,0.00959289
15,5114.62,1.85919,2.07775,1.77573,0.50272,0.45824,0.45806,0.21281,1.81813,1.93928,1.74183,0.00952889,0.00952889,0.00952889
16,5374.72,1.84736,2.05065,1.75567,0.51596,0.43484,0.44695,0.21169,1.79771,1.89956,1.69695,0.00946048,0.00946048,0.00946048
17,5636.31,1.83981,2.02569,1.75076,0.50701,0.45696,0.45829,0.21212,1.80121,1.90267,1.70945,0.00938772,0.00938772,0.00938772
18,5899.24,1.81806,1.99442,1.74357,0.54678,0.46513,0.48097,0.22929,1.7777,1.84929,1.70851,0.00931067,0.00931067,0.00931067
19,6161.64,1.80853,1.97745,1.73892,0.52365,0.47148,0.48687,0.2332,1.74095,1.84774,1.66495,0.00922942,0.00922942,0.00922942
20,6425.92,1.80309,1.96743,1.72919,0.55088,0.47491,0.50438,0.24308,1.74797,1.81105,1.66737,0.00914405,0.00914405,0.00914405
21,6686.64,1.7935,1.93785,1.71522,0.5533,0.47917,0.50557,0.24507,1.73256,1.78787,1.64797,0.00905463,0.00905463,0.00905463
22,6948.4,1.78519,1.9301,1.71257,0.55008,0.48802,0.50552,0.24234,1.74018,1.78173,1.67152,0.00896127,0.00896127,0.00896127
23,7209.67,1.77851,1.89799,1.70286,0.56026,0.48728,0.51589,0.25354,1.72034,1.76642,1.65712,0.00886404,0.00886404,0.00886404
24,7472.89,1.77064,1.88125,1.69123,0.55199,0.50585,0.5314,0.26058,1.71328,1.71734,1.63147,0.00876305,0.00876305,0.00876305
25,7734.65,1.76531,1.86887,1.68712,0.57627,0.50637,0.52855,0.26277,1.70673,1.731,1.62876,0.00865839,0.00865839,0.00865839
26,7997.13,1.75188,1.85188,1.68097,0.58464,0.50462,0.53809,0.26604,1.6884,1.70719,1.60867,0.00855018,0.00855018,0.00855018
27,8259.17,1.75066,1.82777,1.67806,0.59556,0.5165,0.54436,0.2739,1.69081,1.67784,1.61464,0.00843851,0.00843851,0.00843851
28,8522.68,1.74568,1.81745,1.6713,0.59238,0.52097,0.55689,0.27805,1.68963,1.66128,1.60738,0.00832349,0.00832349,0.00832349
29,8785.25,1.74038,1.79769,1.66061,0.59681,0.51016,0.54726,0.27489,1.69277,1.67902,1.59535,0.00820525,0.00820525,0.00820525
30,9047.32,1.72532,1.78657,1.65639,0.58629,0.54291,0.5651,0.28517,1.67707,1.63233,1.59692,0.00808389,0.00808389,0.00808389
31,9308.92,1.72377,1.77179,1.64987,0.60871,0.53033,0.56211,0.28591,1.67851,1.63767,1.59663,0.00795954,0.00795954,0.00795954
32,9572.35,1.72081,1.76297,1.6443,0.59873,0.53529,0.56628,0.28884,1.67706,1.62883,1.58698,0.00783231,0.00783231,0.00783231
33,9834.6,1.71084,1.75055,1.63641,0.61194,0.5341,0.57454,0.29093,1.6702,1.61933,1.58701,0.00770234,0.00770234,0.00770234
34,10095.2,1.70611,1.73776,1.63407,0.61361,0.53859,0.58074,0.29645,1.66822,1.60351,1.5824,0.00756976,0.00756976,0.00756976
35,10356.5,1.70737,1.72357,1.62255,0.61038,0.54361,0.58286,0.29839,1.6661,1.59616,1.57858,0.00743468,0.00743468,0.00743468
36,10617.2,1.70017,1.70123,1.62026,0.6395,0.54311,0.58927,0.30312,1.66586,1.576,1.57649,0.00729725,0.00729725,0.00729725
37,10879.9,1.68594,1.69288,1.61426,0.63385,0.53728,0.58949,0.30581,1.65614,1.5717,1.57241,0.00715761,0.00715761,0.00715761
38,11142.4,1.68602,1.6836,1.62073,0.60209,0.55322,0.5928,0.30649,1.66524,1.56574,1.58458,0.00701588,0.00701588,0.00701588
39,11407.4,1.67818,1.67093,1.61029,0.63171,0.54743,0.59475,0.30719,1.65113,1.55647,1.57118,0.00687222,0.00687222,0.00687222
40,11669.9,1.67373,1.65838,1.60643,0.61992,0.55816,0.59769,0.31132,1.64943,1.54229,1.56655,0.00672675,0.00672675,0.00672675
41,11930.9,1.66776,1.64332,1.59997,0.6291,0.56166,0.60372,0.31345,1.64911,1.53379,1.56332,0.00657963,0.00657963,0.00657963
42,12192.4,1.65443,1.62227,1.58799,0.63229,0.5546,0.60523,0.31487,1.64863,1.52905,1.56086,0.00643101,0.00643101,0.00643101
43,12497.4,1.65605,1.61696,1.58733,0.64115,0.54823,0.60497,0.31475,1.65378,1.53184,1.56637,0.00628101,0.00628101,0.00628101
44,12781.3,1.65402,1.61462,1.58393,0.63314,0.55435,0.60903,0.31634,1.64719,1.52688,1.56297,0.00612981,0.00612981,0.00612981
45,13044.1,1.64646,1.59233,1.58061,0.63648,0.56659,0.61172,0.31911,1.64656,1.52346,1.56044,0.00597754,0.00597754,0.00597754
46,13305.5,1.63449,1.57931,1.57314,0.64033,0.56431,0.61286,0.31916,1.65271,1.51545,1.56348,0.00582435,0.00582435,0.00582435
47,13567.2,1.6339,1.57471,1.56588,0.6348,0.56411,0.6128,0.32169,1.64865,1.50721,1.5617,0.0056704,0.0056704,0.0056704
48,13830.2,1.62421,1.55407,1.56232,0.63783,0.57054,0.61504,0.32429,1.64945,1.49991,1.56117,0.00551584,0.00551584,0.00551584
49,14091,1.61646,1.53767,1.5522,0.64067,0.56906,0.61601,0.32534,1.64646,1.49735,1.5598,0.00536081,0.00536081,0.00536081
50,14351.6,1.61271,1.52712,1.55299,0.63287,0.5734,0.61785,0.3251,1.64467,1.49786,1.55755,0.00520548,0.00520548,0.00520548
51,14612.8,1.6081,1.52003,1.54601,0.64209,0.57291,0.62002,0.32778,1.6412,1.49594,1.55654,0.00505,0.00505,0.00505
52,14873.5,1.60455,1.50855,1.54393,0.63948,0.57621,0.62093,0.32825,1.64036,1.48886,1.55494,0.00489452,0.00489452,0.00489452
53,15134.5,1.59372,1.48946,1.54001,0.63948,0.57519,0.62198,0.3298,1.63828,1.48498,1.55371,0.00473919,0.00473919,0.00473919
54,15397.2,1.58871,1.48684,1.52919,0.6472,0.57655,0.62403,0.33077,1.6391,1.48357,1.55389,0.00458416,0.00458416,0.00458416
55,15658.5,1.58614,1.473,1.52968,0.64193,0.5787,0.62645,0.33077,1.64022,1.48445,1.55319,0.0044296,0.0044296,0.0044296
56,15921.4,1.58362,1.46284,1.52834,0.64993,0.57778,0.62598,0.33198,1.64051,1.48113,1.55323,0.00427565,0.00427565,0.00427565
57,16184,1.56847,1.44203,1.51619,0.64055,0.58593,0.62665,0.33162,1.642,1.47766,1.55288,0.00412246,0.00412246,0.00412246
58,16446,1.56657,1.43467,1.51771,0.64003,0.58776,0.62805,0.33313,1.64281,1.47465,1.55238,0.00397019,0.00397019,0.00397019
59,16709.5,1.55968,1.41308,1.51057,0.64774,0.5829,0.62834,0.33374,1.64451,1.47276,1.55221,0.00381899,0.00381899,0.00381899
60,16970.8,1.55354,1.41238,1.50035,0.65047,0.5798,0.62781,0.3326,1.64653,1.47115,1.55351,0.00366899,0.00366899,0.00366899
61,17232,1.54586,1.40276,1.49888,0.63862,0.58532,0.62761,0.33286,1.64893,1.46736,1.55473,0.00352037,0.00352037,0.00352037
62,17493.2,1.53784,1.3802,1.49147,0.6381,0.58571,0.62691,0.3326,1.65016,1.46473,1.55479,0.00337325,0.00337325,0.00337325
63,17754,1.5308,1.36465,1.48398,0.64144,0.58439,0.62822,0.33287,1.65192,1.46279,1.55539,0.00322778,0.00322778,0.00322778
64,18017.8,1.52762,1.36083,1.48612,0.64446,0.58339,0.62891,0.33319,1.65179,1.46156,1.55514,0.00308412,0.00308412,0.00308412
65,18279.3,1.5199,1.35565,1.48079,0.64683,0.58273,0.62886,0.33272,1.65229,1.46139,1.55541,0.00294239,0.00294239,0.00294239
66,18541.2,1.51233,1.33293,1.47185,0.65069,0.58182,0.63018,0.33249,1.65343,1.45931,1.55599,0.00280275,0.00280275,0.00280275
67,18802.7,1.50627,1.32901,1.46493,0.64518,0.58288,0.6308,0.33276,1.65386,1.45896,1.55673,0.00266532,0.00266532,0.00266532
68,19064.5,1.49814,1.31845,1.46197,0.64305,0.58557,0.63115,0.33281,1.65451,1.45869,1.55654,0.00253024,0.00253024,0.00253024
69,19326,1.49313,1.31328,1.45666,0.64296,0.58579,0.63133,0.33378,1.65481,1.45721,1.55755,0.00239766,0.00239766,0.00239766
70,19588.7,1.48949,1.29006,1.45132,0.64213,0.58642,0.63123,0.33361,1.65591,1.45684,1.55813,0.00226769,0.00226769,0.00226769
71,19851.5,1.485,1.2807,1.44839,0.64763,0.5804,0.63124,0.33389,1.65606,1.45621,1.55803,0.00214046,0.00214046,0.00214046
72,20112.3,1.47235,1.27157,1.44245,0.64093,0.58443,0.63121,0.33421,1.65666,1.45583,1.55838,0.00201611,0.00201611,0.00201611
73,20375,1.46355,1.25382,1.43479,0.64336,0.5835,0.63084,0.33421,1.65654,1.45533,1.55846,0.00189475,0.00189475,0.00189475
74,20637.4,1.45878,1.2499,1.43213,0.63843,0.58524,0.63079,0.33374,1.65717,1.45485,1.55868,0.00177651,0.00177651,0.00177651
75,20900.8,1.45221,1.24357,1.42786,0.64094,0.58552,0.63067,0.33416,1.6576,1.45533,1.5593,0.00166149,0.00166149,0.00166149
76,21163.1,1.44229,1.22026,1.42046,0.64385,0.58417,0.63154,0.33431,1.65822,1.45395,1.55937,0.00154982,0.00154982,0.00154982
77,21424.6,1.44655,1.22323,1.42141,0.64507,0.58498,0.63151,0.33455,1.65913,1.45341,1.55968,0.00144161,0.00144161,0.00144161
78,21687.1,1.43493,1.20759,1.41532,0.64416,0.58463,0.63142,0.33508,1.65929,1.4529,1.56016,0.00133695,0.00133695,0.00133695
79,21949.9,1.42792,1.19487,1.40941,0.64442,0.58509,0.63247,0.33532,1.65961,1.4524,1.56048,0.00123596,0.00123596,0.00123596
80,22211.7,1.42514,1.19597,1.40586,0.64578,0.58652,0.6322,0.33577,1.65975,1.45207,1.56081,0.00113873,0.00113873,0.00113873
81,22474.8,1.41831,1.17961,1.40198,0.64631,0.58523,0.6311,0.3359,1.6605,1.45143,1.56124,0.00104537,0.00104537,0.00104537
82,22736.6,1.40848,1.17319,1.39831,0.64601,0.5865,0.63118,0.33599,1.66138,1.45072,1.56187,0.000955951,0.000955951,0.000955951
83,22997.8,1.41195,1.16053,1.40072,0.64706,0.58315,0.63139,0.33616,1.66219,1.45002,1.56238,0.000870577,0.000870577,0.000870577
84,23257.9,1.40453,1.15954,1.3971,0.64809,0.58253,0.63194,0.33631,1.66272,1.45041,1.56291,0.000789327,0.000789327,0.000789327
85,23519.2,1.39932,1.15198,1.39223,0.6485,0.58168,0.63191,0.33659,1.66412,1.44974,1.5638,0.000712282,0.000712282,0.000712282
86,23780.5,1.39018,1.1459,1.3857,0.64872,0.58011,0.63162,0.33618,1.66473,1.44992,1.5641,0.000639518,0.000639518,0.000639518
87,24043.1,1.3885,1.14149,1.38368,0.6509,0.57915,0.63191,0.33621,1.66557,1.44934,1.56487,0.000571106,0.000571106,0.000571106
88,24305,1.38669,1.13179,1.37704,0.64924,0.5841,0.63161,0.33642,1.66633,1.44886,1.56566,0.000507115,0.000507115,0.000507115
89,24566.7,1.38333,1.13143,1.37974,0.64681,0.5842,0.6316,0.33652,1.66722,1.44861,1.56621,0.000447606,0.000447606,0.000447606
90,24829.2,1.3791,1.12878,1.38078,0.64636,0.58404,0.63225,0.33642,1.66832,1.44869,1.56723,0.00039264,0.00039264,0.00039264
91,25111.8,1.37759,1.12191,1.3797,0.64547,0.58586,0.63164,0.33595,1.66882,1.44864,1.56784,0.00034227,0.00034227,0.00034227
92,25373.6,1.37079,1.11217,1.37413,0.64504,0.5881,0.63175,0.33615,1.67009,1.44861,1.56893,0.000296546,0.000296546,0.000296546
93,25635.7,1.36936,1.11605,1.3711,0.64516,0.5878,0.63231,0.33637,1.6707,1.4482,1.5698,0.000255513,0.000255513,0.000255513
94,25896.7,1.37222,1.11748,1.37403,0.64622,0.58786,0.6326,0.33629,1.67119,1.44843,1.57081,0.000219212,0.000219212,0.000219212
95,26158.6,1.36463,1.10873,1.36912,0.64736,0.58742,0.63262,0.33616,1.67186,1.44851,1.57124,0.000187678,0.000187678,0.000187678
96,26419.4,1.36373,1.10581,1.36866,0.64898,0.58786,0.6329,0.33593,1.67244,1.44867,1.57188,0.000160943,0.000160943,0.000160943
97,26681.8,1.36258,1.09944,1.36655,0.65116,0.58607,0.63286,0.33609,1.67328,1.44832,1.57307,0.000139032,0.000139032,0.000139032
98,26942.8,1.36288,1.10437,1.36624,0.6509,0.5859,0.6329,0.33599,1.67395,1.44794,1.57405,0.000121968,0.000121968,0.000121968
99,27205.2,1.3627,1.1005,1.36834,0.64992,0.58644,0.6331,0.3358,1.67495,1.44867,1.57462,0.000109768,0.000109768,0.000109768
100,27465.5,1.36318,1.09807,1.36749,0.64907,0.58558,0.63218,0.33613,1.67569,1.44796,1.57525,0.000102443,0.000102443,0.000102443
